Ad,Başrol,Bölüm sayısı,Durumu,Format,Gösterim süresi,Kanal,Senarist,Sezon sayısı,Tür,Yapım şirketi,Yapımcı,Yayın tarihi,Yönetmen,Ülke
Papatyam,Metin AkpınarNilgün KasapbaşoğluDeniz Oral,121,6,Televizyon dizisi,90,Star TV,Murat Aras,4,9,Mint Prodüksiyon,Birol Güven,6 Ocak 2009 - 28 Aralık 2011,Bora Tekay,Türkiye
Sakarya Fırat,Tayanç AyaydınCeren HindistanDeniz Arnaİsmail Hakkı ÜrünGerçek SağlarKürşat Alnıaçık,151,6,Televizyon dizisi,90,TRT 1,Süleyman Çobanoğlu,4,58,Sinegraf,Osman Sınav,16 Aralık 2009 - 12 Haziran 2013,Osman Sınav (1-15)Tevfik Şenol (1-5)Aybars Bora Kahyaoğlu (1-5)Raşit Çelikezer (10-35)Emre Kabakuşak (36-113)Veli Çelik (114-151),Türkiye
Sıkı Dostlar,Haluk Bilginer Özkan Uğur Seray Sever Nez Hasibe Eren Ömür Arpacı Ayşenur Yazıcı Hakan Bilgin Aydoğan Oflu Özlem Türkad Okan Tangücü,59,14,Televizyon dizisi,60,Türkmax (2009) FOX (2009),Haluk Özenç,,191,Ay Yapım,Kerem Çatay,21 Şubat 2009[1] - 2009,Birkan Uz,Türkiye
Unutulmaz,Serhan YavaşSinem ÖztufanÖzlem YılmazNihat Altınkaya,90,6,Televizyon dizisi,90,atv,Haldun Ünsalİhsan Aydın,2,101,Stil Medya,Ahmet Bayram,1 Temmuz 2009 - 29 Haziran 2011,Ersoy GülerCem TabakŞenol Sönmez,Türkiye
1 Erkek 1 Kadın 2 Çocuk,Demet Evgar Emre Karayel,416,6,Televizyon dizisi,45,TürkMax (2008-2011) Star TV (2012-2013) FOX (2014-2015),Ali Alper Erze Hasan Can Kaya Meriç Acemi Utku Gürtunca Sadık Bigat Zeki Enes Akkan,8,165,Altıoklar (2008-2009)1K1E (2009-2012)Bando Yapım (2012-2015),Mehmet Karaca Müge Turalı,2 Ekim 2008 - 8 Nisan 2015,Leyla Yaman,Türkiye
Aşk Yakar,Özcan DenizMeltem Cumbul,27,6,Televizyon dizisi,104,Kanal D,Kerem Çatay,1,92,Avşar Film,Şükrü Avşar,17 Ekim 2008 - 29 Mayıs 2009,Kerem Çatay,Türkiye
Aşk-ı Memnu,Beren SaatKıvanç Tatlıtuğ Selçuk YöntemHazal KayaNebahat ÇehreZerrin TekindorNur Fettahoğlu,79,6,Televizyon dizisi,90,Kanal D (HD),Ece YörençMelek Gençoğlu,2,145,Ay Yapım,Kerem Çatay,4 Eylül 2008 - 24 Haziran 2010,Hilal Saral,Türkiye
Aşkım Aşkım,Emel SayınMehmet Ali ErbilDoğa RutkayEngin GünaydınGünay KaracaoğluAyumi Takano,50,6,Televizyon dizisi,104,Kanal D (2001-2002) Kanal 1 (2007-2008),Kerem Çatay,2,303,Ay Yapım,Yağmur Ajans,8 Ekim 2001[1][2] - Haziran 2008,Filiz Kaynak (2001-2002)Nursan Esenboğa (2008),Türkiye
Benim Annem Bir Melek,Oya BaşarTarık ÜnlüoğluDolunay SoysertAli SunalŞehsuvar AktaşAyçin İnci,64,6,Televizyon dizisi,90,atv (2008-2009) Star TV (2009-2010) a2 (tekrar),Vasıf Küçükoruç,3,7,BKM Film İmaj (post prodüksiyon),Elif Yakarçelik,30 Mart 2008 - 10 Mayıs 2010,Hakan Algül,Türkiye
Bir Varmış Bir Yokmuş,Ahmet MekinOnur ÜnsalŞahika KoldemirServet PandurSerdar YeğinTürkan KılıçErkan BektaşTurgay TanülküEsra KızıldoğanBurak DavutoğluCandan ErsoyErk BilgiçCeren OlcaytoSelen ÖztürkTuba ErdemOzan BilenSıla ÇetindağŞebnem GürsoyBülent İşbilen,4,6,Televizyon dizisi,104,Star TV,Meriç ÖzenHamdi Döker,1,81,BKM,Necati Akpınar,7 Ocak 2008 - 28 Ocak 2008,Bülent İşbilen,Türkiye
Canım Ailem,Uğur Yücel Ozan Güven Şebnem Bozoklu Funda Eryiğit Ezgi Mola İlker Aksum Oktay Gürsoy Sezgi Mengi Deniz Denker Alpay Şayhan Ayçe Abana Bengi Öztürk Hikmet Körmükçü Candan Sabuncu Nejat Birecik Haldun Boysan Onur Ünsal Begüm Kütük Yaşaroğlu Şeyda Şaşmaz,63,6,Televizyon dizisi,104,atv,Selin Tunç,2,9,TMC Film,Erol Avcı,18 Kasım 2008 - 9 Haziran 2010,Sadullah Celen,Türkiye
Cesaretin Var Mı Aşka,Engin Altan DüzyatanÖzge ÖzpirinçciTarık PapuççuoğluUfuk Özkanİlker Ayrık,8,6,Televizyon dizisi,104,Kanal D,Kerem Çatay,1,263,Limon Yapım,Hayri Aslan,2 Temmuz 2008 - 20 Ağustos 2008,Ömer Uğur,Türkiye
Çok Güzel Hareketler Bunlar,Aydan TaşAyça ErturanAyşegül AkdemirBurcu GönderBülent Emrah ParlakBüşra PekinEmre CanpolatErsin KorkutEser YenenlerGizem TuğralGülhan TekinGülsüm AlkanHamdi Kahramanİbrahim BüyükakMetin KeçeciMetin YıldızMurat EkenNazmi KaramanOğuzhan KoçPelin ÖztekinŞahin IrmakŞevket Süha TezelZeynep Koçak,90,6,Televizyon programı,105,"Kanal D (2008-2011)Star TV (2011) (Yılbaşı Özel)tv2 (2012-2013) (Tekrar)Show TV (2013) (Sevgililer Günü Özel)Kanal D (2013) (Tekrar)TV8 (2014-2019) (Tekrar)TV8,5 (2023-) (Tekrar)",Kerem Çatay,4,218,Ay Yapım,Necati Akpınar,28 Mayıs 2008 - 26 Haziran 2011,Hakan AlgülDerya Yaruç (yardımcı),Türkiye
Doğruluk Ekseni,Rahman Görede,36,14,Televizyon dizisi,100,Samanyolu TV,Kerem Çatay,1,81,Ay Yapım,Kerem Çatay,14 Ekim 2008[1] - 16 Haziran 2009,Taner Tunç,Türkiye
Doksandokuz,,99,6,Televizyon dizisi,90,Kanal 7,Kerem Çatay,,86,Ay Yapım,Buğday Film[1][2],2008 - 2008,Gül Güzelkaya,Türkiye
Doludizgin Yıllar,Yusuf Ömer SınavSelen SeyvenArda Kural Erdal CindorukDamla DebreAyşegül İşseverMehmet PolatSuat GüzeyYılmaz CalayırDeniz ÖzpınarYağız BankoğluHüseyin Soysalan,47,6,Televizyon dizisi,90,atv (6 Ağustos 2008-24 Eylül 2008) TRT 1 (3 Kasım 2008-8 Şubat 2010),Yiğit Güralp,2,81,Sinegraf,Osman Sınav,6 Ağustos 2008 - 8 Şubat 2010,Kerem Çatay,Türkiye
Dur Yolcu,Hazım KörmükçüSelin DemiratarCem KılıçEbru KocaağaMurat SoydanAhmet YenilmezUmut ÖzkanEmre Tetikel,13,6,Televizyon dizisi,104,TRT 1,Ömer Erbil,1,154,TRT,Ahmet Yenilmez,2008 - 2008,Hakan Şahinİsmail Güneş,Türkiye
Emret Komutanım,Sarp LevendoğluDemet EvgarSeda Akman,95,6,Televizyon dizisi,90,Show TV (2005-2007) Kanal 1 (2008),Alper ErzeMustafa AltıoklarSermiyan MidyatSırrı Süreyya ÖnderMüfit Can SaçıntıYılmaz OkumuşMeriç AcemiEmine AltıoklarCaner GülerNükhet BıçakçıEbru HacoğluSavaş SaylanÖmhur KaynakÖmer GençEngin ElgünOsman DikicilerEngin Özer,4,57,Altıoklar Film Prodüksiyon,Emine AltıoklarMehmet Altıoklar,23 Haziran 2005[1][2][3] - 18 Temmuz 2008[4][5][6],Mustafa Altıoklar (Proje genel yönetmeni)Kartal TibetÖmer UğurHakan AlgülOğuz YalçınTaner AkvardarHaluk GölTuba GermanSarp LevendoğluMurat Düzgünoğlu,Türkiye
Eyvah Halam,Rasim ÖztekinErtuğrul ŞakarEce ÇeşmioğluZeynep ÖzkayaDoğaç YıldızAkçahan AkçaDefne YalnızSait GenayOğuz Oktay,5,6,Televizyon dizisi,100,Star TV,Fethi KantarcıBarkın Şenüren,1,193,Ay Yapım,Lale Eren,30 Temmuz 2008 - 27 Ağustos 2008,Kemal Uzun,Türkiye
Gece Gündüz,Sarp Levendoğlu Settar Tanrıöğen,29,6,Televizyon dizisi,80,Kanal D,Kerem Çatay,1,201,Ay Yapım,Mehmet Altıoklar,4 Temmuz 2008 - 22 Mart 2009,Metin BalekoğluSarp Levendoğlu,Türkiye
Görgüsüzler,Melek BaykalZeki AlasyaÇağla ŞikelMert ÖcalLevent ÜlgenZihni GöktayÜmit YesinVeysel DikerŞeyla HalisBahar Öztan,6,6,Televizyon dizisi,80,atv,Resul Ertaş,1,191,Erler Film,Türker İnanoğlu,13 Ocak 2008[1][2][3] - 17 Şubat 2008[4][5][6],Yaşar Seriner,Türkiye
Güldünya,Sanem ÇelikYeliz DoğramacılarSongül Öden,10,6,Televizyon dizisi,90,Star TV (2008-2009),Kerem Çatay,1,81,TMC,Erol Avcı,29 Ekim 2008 - Şubat 2009,Ömür Atay,Türkiye
Hepimiz Birimiz İçin,Seda GüvenBuğra Gülsoy,5,6,Televizyon dizisi,104,Kanal D,Kerem Çatay,1,263,Artı Film,Onur Peker,3 Temmuz 2008 - 31 Temmuz 2008,Serkan BirinciSadullah Celen,Türkiye
Kırmızı Işık,Cüneyt Arkın Tolga Savacı Meral Orhonsay Bahadır Tok Meltem Ören Fatma Belgen Kemal İnci Muhammet Taflan Ahmet Vuran,13,6,Televizyon dizisi,25,TRT 1,Bayram ÖzbekCavidan Balcı,1,172,Ay Yapım,"Şener Danyıldız, Emniyet Genel Müdürlüğü ve TRT İç Yapımlar",2008 - 2008,Hilmi Akyalçın,Türkiye
Kollama,Mehmet ÖzgürOrhan Bıyıklı Eşref Kolçak Serhan Süsler Ertan KılıçOsman Kot Okay Şenol Enis Yıldız Cevher Hikmet Güzey Hüseyin Köroğlu Reha Taşman Ali Başar Gökçer Genç,134,6,Televizyon dizisi,90,Samanyolu TV,Buzlu Cam Nakkaş,4,233,Ay Yapım,Melih Sezgin Mustafa Kartal,10 Şubat 200824 Haziran 2011,Cemile Kırmızı Karadaş Ercan Durmuş Gül Güzelkaya Ömer Gökhan Erkut Cem Akyoldaş Taner Tunç Barış Yöş,Türkiye
Küçük Kadınlar,Özge BorakHande SoralFulya ZenginerEkin TürkmenElit İşcanSelin IlgarAli İlBirsen DürülüAhmet Tansu TaşanlarNur Hayat BozKıvanç KasabalıAhmet LevendoğluBurak SağyaşarSimge SelçukHülya ŞenCevdet Arıcılar Ayşegül GünayDuygu KeserEmre TetikelKemal Pekser,120,6,Televizyon dizisi,90,Kanal D (2008-2010)Star TV (2010-2011),Deniz AkçayOnur Uğraş,3,81,D Productions,Ayşe Durmaz,10 Haziran 2008 - 13 Mart 2011,Hakan Arslan,Türkiye
Mert ile Gert,Emre Altuğ Ragga Oktay Begüm Birgören Ayşen Gruda Zihni Göktay Aşkın Şenol Işılay Gül Eylem Yıldız Serkan Keskin,27,6,Televizyon dizisi,90,TRT 1,Mahinur Ergun Kubilay Tunçer,1,191,Plato Film,Sinan Çetin,18 Temmuz 2008 - 3 Şubat 2009,Hakan Algün,Türkiye
Ölüm Çiçekleri-Saraybosna,Erhan EmreZeynep Beşerler,4,6,Televizyon dizisi,80,Star TV (2008),Kerem Çatay,1,99,Ay Yapım,Kerem Çatay,21 Mart 2008 - 11 Nisan 2008,Metin Balekoğlu-Turgut Yasalar,Türkiye
Pars: Narkoterör,İbrahim Çelikkol Seda Bakan,23,6,Televizyon dizisi,90,Show TV,Aybars Bora Kahyaoğlu Selman Kılıçaslan Onur Şener,1,51,Sinegraf,Osman Sınav,21 Ocak 2008 - 4 Temmuz 2008,Metin Günay,Türkiye
Pulsar,Pulsar Von JulietAyberk KoçarBuket DereoğluKayra ŞenocakEcem Uzun,17,6,Televizyon dizisi,90,Star TV,Engin ElgünKubilay ZerenerRamazan DenizhanAybike ErtürkDuygu NişancıYasemin ÖzekAlper Erze,1,2,Rüzgar Yapım,Ayşe Şule Bilgiç,10 Haziran 2008 - 14 Ekim 2008,Ayşe Şule BilgiçMustafa YaşarSerkan İpekörenKartal Çidamlı,Türkiye
Süper Babaanne,Murat KubilayAsuman DabakMustafa UzunyılmazCeren SoyluYılmaz KöksalZuhal YalçınNedret Özbek,17,6,Televizyon dizisi,90,TRT 1,Gani MüjdeGökhan Karagülle,1,176,TRTAvşar Film,Şükrü Avşar,2008,Serkan KızıldağTemel Gürsu,Türkiye
Unutma Beni,,1702,6,Televizyon dizisi,40,FOX (HD),Moda Senaryo Evi,8,12,Focus Film,Nilgün Sağyaşar,19 Mayıs 2008[1] - 27 Mayıs 2016,Kerem Çatay,Türkiye
Yalancı Romantik,Hakan YılmazEbru Cündübeyoğlu Necmi Yapıcı Asuman DabakMelih EkenerZerrin SümerYalçın MenteşUmut Oğuz,66,6,Televizyon dizisi,104,Kanal 1 (2008) FOX (2008-2010),Murat ArasBirol GüvenMetin Açıkgöz,2,193,Mint Prodüksiyon,Birol Güven,13 Nisan 2008[1] - 11 Ocak 2010,Birkan Uz,Türkiye
Yol Arkadaşım,Özge Özberk Polat Bilgin Sinan Tuzcu Tanju Tuncel Ayşe Tunaboylu Goncagül Sunar,41,6,Televizyon dizisi,80,Kanal D (12 Mayıs 2008-29 Aralık 2008) Star TV (29 Ocak 2009-15 Haziran 2009),Çağan Irmak,2,93,Sis Yapım,Ilgaz Giritlioğlu Bahadır Atay,12 Mayıs 2008 - 15 Haziran 2009,Irmak Çığ,Türkiye
Annem,Vahide PerçinDuygu YetişTalat Bulutİlhan ŞeşenEmel Göksu,64,6,Televizyon dizisi,100,Kanal D (HD) (2007-2009),Gamze Özer,2,81,Gold Film,Faruk Turgut,6 Eylül 2007 - 28 Mayıs 2009,Faruk Teber,Türkiye
Arka Sıradakiler,Bülent Emin YararBülent ÇetinaslanSinem ÖztürkBarış Atay MengüllüPelin AkilFırat Çöloğlu,193,6,Televizyon dizisi,100,FOX (2007-2011) TNT (2012),Nur Özlem Elginöz Birol ElginözYelda AçıkgözMüfit Can SaçıntıAysen TekerSema Ali Erol,6,184,MinT ProdüksiyonBest Prodüksiyon,Birol Güven,30 Eylül 2007 - 10 Haziran 2012,"Hamdi Alkan (1-160, 171-193)Ali Bilgin (161-170)",Türkiye
Asi,Tuba BüyüküstünMurat YıldırımÇetin TekindorNur SürerTuncel KurtizSelma Ergeç,71,6,Televizyon dizisi,104,Kanal D,Kerem Çatay,2,145,Sis Yapım,Ilgaz GiritlioğluTomris Giritlioğlu,26 Ekim 200719 Haziran 2009,Cevdet Mercan,Türkiye
Aşk Kapıyı Çalınca,Burak KutBurak DavutoğluErdal KüçükkömürcüBahar ÖztanAslı YılmazNihal Menzilİpek ErdemBersun GoriçaDeniz ÖzmenHümeyra AydoğduSelçuk ÖzdoğanSerap MatyaşSerkan UzunerÇağlar TüfekçiGökhan ÖzarasSemra Kaygun,8,6,Televizyon dizisi,104,Star TV (2007),Filiz Alpgezmen Eylem Akın,1,87,Koliba Film,Ata Türkoğlu,10 Temmuz 2007 - 28 Ağustos 2007,Ömer Gökhan Erkut,Türkiye
Bez Bebek,Evrim AkınTan Sağtürk Alpay AtalanFatoş KabasakalReyhan Asena KeskinciEge TanmanOya AydoğanSibel KasapoğluMehmet UstaSevinç Aktansel,101,6,Televizyon dizisi,80,FOX,Nilbanu Engindeniz,3,304,Focus Film,Nilgün Sağyaşar,20 Eylül 2007 - 2 Nisan 2010,Serpil Kurtça,Türkiye
Bıçak Sırtı,Nejat İşlerMelisa SözenFikret KuşkanVildan AtaseverMehmet GünsürMahir GünşirayErkan CanBatuhan Karacakaya,30,6,Televizyon dizisi,104,Kanal D,Gaye BoralıoğluNeşe ŞenŞerif ErolGülden ÇakırEmine Algan,1,303,TMC,Erol Avcı,10 Eylül 2007 - 28 Nisan 2008,Selim Demirdelen,Türkiye
Dudaktan Kalbe,Aslı Tandoğan Burak Hakkı Özge Özder Yiğit Özşener Fadik Sevin Atasoy,75,6,Televizyon dizisi,100,Show TV,Ece Yörenç Melek Gençoğlu,2,81,Ay Yapım,Kerem Çatay,3 Eylül 2007 - 26 Mayıs 2009,Andaç Haznedaroğlu,Türkiye
Elveda Derken,Ece UsluGökhan TepeBurcu Karaİncilay ŞahinSinan SümerTansel ÖngelAydan KayaFatma KaranfilSait GenaySeda Güven,51,6,Televizyon dizisi,104,Kanal D,Kerem Çatay,2,81,Yağmur Ajans,Osman Yağmurdereli,21 Mart 2007 - 17 Haziran 2008,Hilal Saral Ünalan,Türkiye
Elveda Rumeli,Erdal ÖzyağcılarTolgahan SayışmanŞebnem SönmezGökhan MeteMustafa JasarFiliz AhmetErman SabanBerrak TüzünataçSuzan AkbelgeLuran AhmetiErtan SabanBedia BegovskaTuna OrhanPerihan TunaPetar MircevskiSelahattin BilalElyesa Kaso,83,6,Televizyon dizisi,90,atv,Alican YaraşNuran Evren ŞitÖzge EfendioğluMurat LeventErtan Saban,3,156,Adam Film,Tarkan Karlıdağ,20 Eylül 2007 - 19 Ekim 2009,Serdar Akar (Genel yönetmen)Doğan Ümit KaracaÖzer Kızıltan,Türkiye Kuzey Makedonya
Fedai,Seda SayanTamer Karadağlı Metin BelginGüliz Gençoğluİpek TanrıyarEnginay GültekinMutlu GüneyAtilla YiğitErgül CoşkunSelen UçerKaan OlcayŞeyda Şaşmaz,8,6,Televizyon dizisi,80,Star TV,Meral Okay,1,157,D Productions,Abdullah Oğuz,16 Kasım 2007 - 12 Ocak 2008,Güzide Balcı,Türkiye
Fesupanallah,Şafak SezerKadir ÇöpdemirHasan KaçanCem DavranErdal TosunŞebnem ÖzinalHatice Şendil,8,8,Televizyon dizisi,80,atv,Hasan KaçanOzan AksungurBehiç PekAli DemirelNil Güleç Ünsal,1,209,Pana Film,Raci Şaşmaz,10 Eylül 2007 - 6 Kasım 2007,Zübeyr Şaşmaz,Türkiye
Geniş Zamanlar,Zuhal OlcayÖzge ÖzberkOktay Kaynarca,22,6,Televizyon dizisi,104,Star TV,Mahinur Ergun,1,81,Koliba Film,Ata Türkoğlu,9 Ocak 2007 - Haziran 2007,Serdar Akar,Türkiye
Genco,Alpay Kemal AtalanSelen SeyvenHazal Kaya,51,6,Televizyon dizisi,104,Kanal D,İlker Barış,1,303,D Productions,Kerem Çatay,3 Temmuz 2007 - 28 Haziran 2008,Kemal Uzun,Türkiye
Hakkını Helal Et,Oyuncular,37,6,Televizyon dizisi,80,Samanyolu TV,Kerem Çatay,1,85,Ay Yapım,Kerem Çatay,20 Ekim 2007[2][3][4] - 28 Haziran 2008[5][6],İsmail Güneş (1-6) Naci Çelik Berksoy[1] (7-37),Türkiye
Hayal ve Gerçek,Yasemin Hadivent Cem Kılıç Zuhal Yalçın,9,6,Televizyon dizisi,104,atv,Gani Müjde Emre Bülbül,1,200,Süreç Film,İnci Gündoğdu,7 Temmuz 2007 - 1 Eylül 2007,Gürcan Mete Şener,Türkiye
Karayılan,Bülent İnalBegüm BirgörenEngin Akyürek,18,6,Televizyon dizisi,104,atv,Kuledibi Senaryo Grubu,1,288,Ay Yapım,Fatmanur Sevinç,19 Kasım 2007 - 22 Nisan 2008,Cem AkyoldaşFeride Kaytan,Türkiye
Kavak Yelleri,Dağhan Külegeç Pelin Karahan İbrahim Kendirci Aslı Enver Sarp Apak Ceren Moray Cemil Büyükdöğerli Ferit Aktuğ Lale Mansur,170,6,Televizyon dizisi,100,Kanal D,Nükhet Bıçakçı Pınar Ordu Gökhan Horzum Ekin Atalar Yılmaz Şahin Yiğit Güralp,5,184,Tims Productions,Timur Savcı,31 Mayıs 2007 - 30 Ağustos 2011,Jale İncekolCevdet MercanOsman Taşcı,Türkiye
Kurtlar Vadisi Pusu,Necati ŞaşmazCahit KayaoğluErhan UfakErtuğrul ŞakarGaye GürselDefne SamyeliEski başrollerGürkan Uygun Kenan ÇobanMusa UzunlarHakan BoyavErtan SabanGörkem SevindikÇiğdem BaturAli SürmeliMustafa ÜstündağBurak SevinçHüseyin Avni Danyal,300,2,Televizyon dizisi,120,"Show TV (2007-2009) Star TV (2009-2010) TNT (2011-2012) atv (2010-2011, 2012-2014) Kanal D (2014-2016)Tekrar yayınlarıBeyaz TV (2018-2023)TürkHaberTV (2023-)360 TV (2016-)tv2 (2019)",Raci Şaşmaz (2007-2014) Bahadır Özdener (2007-2014) Cüneyt Aysan (2007-2014) Pana Yazım Grubu (2014-2015) Murat Koca (2015-2016) Cahit Kayaoğlu (2015-2016) Selma Hacıosmanoğlu (2015-2016) Ayşegül Hacıosmanoğlu (2016),10,41,Pana Film,Raci Şaşmaz (2007-2014) Necati Şaşmaz (2014-2016),19 Nisan 2007 - 16 Haziran 2016,"Sadullah Şentürk (1-51, 71-93) Zeynep Günay (52-57, 59-62) Zübeyr Şaşmaz (58, 63-70) Ali Can Gebeş (94-99, 162-171) Selahattin Sancaklı (100-128) Onur Tan (129-161, 172-229) Doğan Ümit Karaca (230-300)",Türkiye
Kurtlar Vadisi Terör,Necati ŞaşmazGürkan UygunSönmez AtasoyKenan Çoban,2,14,Televizyon dizisi,104,Show TV (2007),Raci ŞaşmazBahadır ÖzdenerCüneyt Aysan,1,30,Pana Film,Raci Şaşmaz,8 Şubat 2007 - 18 Ekim 2007,Sadullah Şentürk,Türkiye
Mahşer-Nabucco'nun Zehri,Mahir Günşirayİpek TuzcuoğluAhmet Uzİstemi BetilAli BaşarNesligül Deniz Çaltıl,4,6,Televizyon dizisi,104,atv,Kerem Çatay,1,303,Ay Yapım,Doludizgin Prodüksiyon,11 Aralık 2007 - 11 Ocak 2008,Koray Demir,Türkiye
Menekşe İle Halil,Kıvanç TatlıtuğSedef Avcı,36,6,Televizyon dizisi,100,Kanal D (HD),Elif ŞafakEce YörençMelek Gençoğlu,1,69,Ay Yapım,Kerem Çatay,7 Eylül 2007 - 24 Mayıs 2008,Uluç Bayraktar,Türkiye
Parmaklıklar Ardında,Selda Alkor Serra Yılmaz Yelda ReynaudÖzlem DüvencioğluZeynep Eronat Sinan Albayrak Cengiz Bozkurt Başak Daşman Pınar Dikici Özgül Kavruk Zehra Alptürk Ogün Kaptanoğlu İsmail Düvenci Onuryay Evrentan Müfide İnselel Zeynep Kızıltan Nurhan Özenen Meltem Pamirtan Iraz Yöntem Pınar Ünsal Beste Bereket Neriman Uğur Dilşad Bozyiğit Mine Çayıroğlu Fikret Kuşkan Rüçhan Çalışkur Zeynep Gülmez Tardu Flordun,106,6,Televizyon dizisi,90,atv,Kerem Çatay,3,279,Ay Yapım,Ayşe Durukan Uğur Başaran,13 Aralık 2007 - 24 Haziran 2010,Hakan Gürtop(1. sezon) Nisan Akman (2 ve 3. sezon),Türkiye
Sevgili Dünürüm,Engin Altan DüzyatanRojda DemirerHaluk BilginerSumru Yavrucuk,21,6,Televizyon dizisi,104,Star TV,Kerem Çatay,1,165,Gold Film,Faruk Turgut,19 Ekim 2007 - Mayıs 2008,Hakan Algül,Türkiye
Sır Gibi,İsmet ÜstekinKaya ErdaşTuğçe ErsoyMurat ÜnalmışEce ÖzdikiciGülenay KalkanAyşegül UygurerAylin KontenteHikmet KaragözBurak DavutoğluFeyza IşıkSezin AkbaşoğullarıErdoğan Tutkun,5,6,Televizyon dizisi,104,Star TV (2007),Neslihan Eyüboğlu,1,4,FM Yapım,Kerem Çatay,4 Ekim 2007 - 1 Kasım 2007,Şengül Halat,Türkiye
Tatlı Bela Fadime,Nehir ErdoğanBerk OktayCezmi BaskınFüsun Demirel,36,6,Televizyon dizisi,104,Star TV,Suna Dölek,1,259,Erler Film,Türker İnanoğlu,11 Ekim 2007 - 21 Haziran 2008[1],Cankat Ergin,Türkiye
Tek Türkiye,,149,6,Televizyon dizisi,90,Samanyolu TV,Ali KaraSamim Utku,4,83,Ay Yapım,Salih Asan,18 Ekim 2007 - 30 Haziran 2011,Naci Çelik BerksoyGürsel Ateş,Türkiye
Vazgeç Gönlüm,Murat Hanİrem AltuğBulut Aras,47,6,Televizyon dizisi,104,Star TV,Kerem Çatay,2,83,Gold Film,Faruk Turgut,2007 - 18 Ekim 2008,Kerem Çatay,Türkiye
Yeni Evli,,175,6,Televizyon dizisi,35,TRT 1 (2007-2008),Kerem Çatay,1,303,Tunga Film,Kerem Çatay,Temmuz 2007 - Nisan 2008,Kerem Çatay,Türkiye
Yersiz Yurtsuz,Ferdi TayfurŞerif SezerNesrin CavadzadeSinan Albayrak,18,6,Televizyon dizisi,104,atv,Ali Ulvi Hünkar (1-14)Neşe Cehiz (15-18)Ayşe Teker (15-18)Nur Kıymaç (15-18),2,81,Avşar Film,Şükrü Avşar (1-14)Semra Avşar (15-18)Uğur Atukman (15-18),29 Mart 2007[1][2][3][4][5][6][3][4] - 25 Eylül 2007[7][8][9],Cemal Şan (1-3)Cevdet Mercan (4-7)Şafak Bal (8-18),Türkiye
Zeliha'nın Gözleri,Sarp LevendoğluEmel Çölgeçen,9,6,Televizyon dizisi,104,Star TV,Mehmet AltıoklarEmine AltıoklarMeriç AcemiÖmer Genç,1,303,Ay Yapım,Mehmet AltıoklarEmine Altıoklar,30 Temmuz 2007 - 24 Eylül 2007,Filiz KaynakÖmer Uğur,Türkiye
Adak,EmrahHande Subaşı,10,6,Televizyon dizisi,104,Show TV,Gamze Özer,1,157,Gold Film,Faruk Turgut,Eylül 2006 - Kasım 2006,Adnan Güler,Türkiye
Arka Sokaklar,Zafer ErginÖzgür Ozanİlker İnanoğluOzan ÇobanoğluÖzlem ÇınarEski başrollerOya OkarŞevket ÇoruhAlp KorkmazUğur PektaşGamze ÖzçelikCan NergisMüge BozBerk OktayÇağla KubatGülcan ArslanZeynep BeşerlerBeril Kayar,657,3,Televizyon dizisi,135,Kanal D,Ahmet YurdakulOzan YurdakulSinan YurdakulBarkın ŞenürenMetin Arslan,18,241,Erler Film(2006-2022)D Media(2023-günümüz),Türker İnanoğlu(2006-2022)Ali Cengiz Deveci(2023-günümüz),31 Temmuz 2006 - günümüz,Orhan Oğuz,Türkiye
Binbir Gece,Halit Ergenç Bergüzar KorelTardu FlordunCeyda DüvenciTomris İncerMetin Çekmez,90,6,Televizyon dizisi,80,Kanal D,Yıldız Tunç Murat Lütfü Mehmet Bilal Ethem Yekta,3,81,TMC,Erol Avcı,7 Kasım 2006 - 12 Mayıs 2009,Kudret Sabancı,Türkiye
Doktorlar,Kutsi Bekir Aksoy Yasemin Özilhan Leyla Göksun Melike Güner Yeşim Ceren Bozoğlu,97,6,Televizyon dizisi,90,Show TV,Ebru HacıoğluZehra GülerayTuğba FedaioğluTuğba DoğanTolga KüçükAyşe TekerMakbule Kosif,4,136,Medyapım,Fatih Aksoy,28 Aralık 2006 - 14 Şubat 2011,Merve GirginOğuzhan TercanŞenol Sönmez,Türkiye
Fırtına,Burçin Terzioğlu Murat Yıldırım Zerrin Sümer Jale Aylanç Salih Kalyon Münir Canar Erkan Can Ayşen Gruda Orhan Eşkin Ömür Arpacı Deniz Erözen Cezmi Baskın Nihan Büyükağaç Türkü Hazer Emirşah Bora Fırat Can Aydın,48,6,Televizyon dizisi,104,Kanal D,Gökhan Horzum,1,193,BKM,Necati Akpınar,3 Temmuz 2006 - 16 Haziran 2007,Metin Balekoğlu,Türkiye
Gönül,Gülben ErgenRagıp SavaşGüven KıraçŞevket Çoruh,7,6,Televizyon dizisi,104,Kanal D,Gani MüjdeEmre BülbülNilüfer YenidoğanFatih Solmaz,1,198,Masalevi,Ali Gündoğdu,13 Şubat 2006 - 3 Nisan 2006,Faruk Teber,Türkiye
Hatırla Sevgili,Cansel ElçinBeren SaatOkan Yalabık,68,6,Televizyon dizisi,120,atv,Kerem Çatay,2,152,Sis Yapım,Ilgaz Giritlioğlu,7 Kasım 2006 - 6 Haziran 2008,Ümmü Burhan,Türkiye
